 station@hdr_integer longitude@hdr:real latitude@hdr:real elevation@hdr:real ntot@body:integer n_good_years@body:integer
042700  -45.4260   61.1610   34.1000  48532 34
837460  -43.2440  -22.8090    8.5000  48400 34
835870  -43.9690  -19.6340  827.5000  48561 34
825790  -42.8230   -5.0600   66.8000  48375 34
822810  -44.2340   -2.5850   54.3000  47793 34
832480  -38.3310  -12.9110   19.5000  48218 34
825990  -35.2480   -5.9110   51.5000  48221 34
823980  -38.5330   -3.7760   25.0000  48381 34
043600  -37.6330   65.6000   52.0000  44399 24
828990  -34.9240   -8.1260   10.1000  48008 34
085090  -27.0910   38.7620   54.9000  49461 34
085940  -22.9490   16.7410   53.9000  46543 34
040300  -21.9410   64.1300   14.6000  49450 34
040050  -23.2500   66.1500   24.0000  47843 34
616410  -17.4900   14.7400   25.9000  49003 34
614420  -15.9480   18.0980    2.1000  41448 28
614150  -17.0300   20.9330    4.9000  43409 34
600300  -15.3870   27.9320   23.8000  49354 34
085210  -16.7670   32.6830   58.0000  49199 34
040820  -15.2270   64.2960    7.3000  45255 21
040630  -18.0730   65.6600    1.8000  49264 34
043200  -18.6670   76.7670   12.0000  47074 34
619020  -14.3940   -7.9700   84.7000  45325 28
039530  -10.2500   51.9330   30.0000  48691 34
040970  -13.5830   65.2670   11.0000  48687 34
689060   -9.8830  -40.3500   54.0000  45622 34
619010   -5.6670  -15.9330  436.0000  43820 34
612910   -7.9500   12.5340  380.1000  47532 34
602300   -8.0360   31.6070  467.9000  49079 34
085540   -7.9660   37.0140    7.3000  49521 34
085450   -8.6810   41.2480   69.5000  49439 34
071000   -5.0500   48.4830   68.0000  48113 34
039170   -6.2160   54.6580   81.7000  49388 34
030260   -6.3310   58.2160    7.9000  49253 34
060110   -6.7670   62.0170   61.0000  44336 31
010010   -8.6670   70.9330    9.0000  47994 32
655780   -3.9260    5.2610    6.4000  45167 20
655100   -4.3310   11.1600  460.6000  45027 34
601410   -4.9780   33.9270  579.1000  48446 34
083600   -0.5580   38.2820   43.3000  49490 34
081600   -1.0420   41.6660  263.0000  49536 34
038940   -2.6020   49.4350  102.4000  49316 34
037720   -0.4610   51.4780   25.3000  49536 34
031350   -4.5870   55.5090   19.8000  49471 34
030050   -1.1830   60.1330   84.0000  48986 34
653440    2.3840    6.3570    5.8000  46509 34
610520    2.1840   13.4820  223.1000  47579 34
606300    2.5000   27.2330  269.0000  47695 34
605660    3.7940   32.3840  460.9000  48123 34
083060    2.7330   39.5500    8.0000  49489 34
081810    2.0780   41.2970    3.7000  49507 34
071570    2.5500   49.0130  119.5000  49524 34
